$ sar -P ALL 1 1
Linux 4.13.0-36-generic (hammer-ubuntu) 	2018年03月10日 	_x86_64_	(8 CPU)

14時44分18秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
14時44分19秒     all     13.21      0.00      0.88      0.00      0.00     85.91
14時44分19秒       0      0.99      0.00      0.00      0.00      0.00     99.01
14時44分19秒       1      0.99      0.00      1.98      0.00      0.00     97.03
14時44分19秒       2      1.00      0.00      0.00      0.00      0.00     99.00
14時44分19秒       3     97.00      0.00      3.00      0.00      0.00      0.00
14時44分19秒       4      1.04      0.00      1.04      0.00      0.00     97.92
14時44分19秒       5      1.02      0.00      1.02      0.00      0.00     97.96
14時44分19秒       6      2.02      0.00      0.00      0.00      0.00     97.98
14時44分19秒       7      0.99      0.00      0.99      0.00      0.00     98.02

Average:        CPU     %user     %nice   %system   %iowait    %steal     %idle
Average:        all     13.21      0.00      0.88      0.00      0.00     85.91
Average:          0      0.99      0.00      0.00      0.00      0.00     99.01
Average:          1      0.99      0.00      1.98      0.00      0.00     97.03
Average:          2      1.00      0.00      0.00      0.00      0.00     99.00
Average:          3     97.00      0.00      3.00      0.00      0.00      0.00
Average:          4      1.04      0.00      1.04      0.00      0.00     97.92
Average:          5      1.02      0.00      1.02      0.00      0.00     97.96
Average:          6      2.02      0.00      0.00      0.00      0.00     97.98
Average:          7      0.99      0.00      0.99      0.00      0.00     98.02
